date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2016-05-03,9330,-10428,1098,9.961994850915286,87.62895965978277,18.51983128345089
2016-05-10,-9322,10494,-1172,0.0,100.0,14.496863148194095
2016-05-17,-7600,13810,-6210,1.088550622028927,100.0,5.568355013646191
2016-05-24,30206,-27499,-2707,26.597047463968025,74.37025363577703,11.776486017084324
2016-05-31,54965,-52457,-2508,43.25653689324308,58.885317913336976,12.129160316166306
2016-06-07,62722,-65931,3209,48.47595849762478,50.52551248324813,22.26101442597384
2016-06-14,83194,-85350,2156,62.250871361477074,38.47719263413908,20.394853436359124
2016-06-21,76591,-79805,3214,57.80793712740045,41.91753114607634,22.269875589267357
2016-06-28,46807,-41194,-5613,37.76729602067044,65.87333101702487,6.626377910892142
2016-07-05,44629,-39018,-5611,36.301793860770566,67.22340795155607,6.6299223762095485
2016-07-12,72294,-72872,578,54.916631901923054,46.21904005559141,17.598270300925105
2016-07-19,96293,-101513,5220,71.06474316704572,28.449024668685166,25.824974302626448
2016-07-26,120285,-124568,4283,87.20814437013013,14.144785824192187,24.16439230142133
2016-08-02,131679,-134355,2676,94.87477963638321,8.072541817640344,21.31641441888491
2016-08-09,131645,-136731,5086,94.85190219219744,6.598376929567678,25.58749512636019
2016-08-16,127946,-131650,3704,92.36297083798732,9.750831389288727,23.138269592032042
2016-08-23,128129,-132141,4012,92.48610531698718,9.446195463344418,23.6841172509127
2016-08-30,147040,-150278,3238,100.0,0.0,22.31240917307624
2016-09-06,143728,-144588,860,97.88183829830777,3.4676515040709863,18.098039910679475
2016-09-13,96166,-100401,4235,67.4639618321587,30.396494563892546,24.079325133803565
2016-09-20,118714,-120663,1949,81.88434530128804,18.048242406513577,20.028001276007515
2016-09-27,136492,-139885,3393,93.2541154500454,6.333796499439325,22.587105235175272
2016-10-04,137389,-139405,2016,93.82778424425372,6.626322461118424,20.146740864140643
2016-10-11,129299,-141937,12638,88.65389288957675,5.083248013261177,38.971396164888525
2016-10-18,157120,-160550,3430,100.0,0.0,22.652677843547302
2016-10-25,162662,-164651,1989,100.0,0.0,20.09889058235565
2016-11-01,131703,-131820,117,81.99890687505814,18.396736541877498,16.781271045262823
2016-11-08,101601,-104568,2967,64.4961159177598,33.66729985823233,21.83213412256761
2016-11-15,71412,-74939,3527,46.942738859428786,50.26980684855515,22.824584411441535
2016-11-22,84263,-87615,3352,54.414945576332684,43.166854382750294,22.51444369616843
2016-11-29,89272,-94275,5003,57.32742580705182,39.43494657095948,25.440399815687805
2016-12-06,52728,-51400,-1328,36.07893757558843,63.45980354251069,14.220394853436359
2016-12-13,77120,-89344,12224,50.26165224672062,42.198015252632224,38.237691844185306
